method,c,seed,d0_jain,d0_eff,d1_eff,br_rho
GGF,0.3,0,0.9960673723868047,0.994375,1.0023921203613282,5.999494529750197
GGF,0.3,1,0.9960626202132224,0.994375,0.9980063629150391,5.999990319767057
GGF,0.3,2,1.0000000038347456,0.6960619354248047,0.6994662475585938,0.9999999971542974
GGF,0.3,3,0.9960690898852492,0.994375,0.99337890625,5.999964272103659
GGF,0.3,4,0.9960690898852492,0.994375,0.98951171875,6.0
GGF,0.5,0,0.9960689741217739,0.994375,1.00245361328125,5.999979420868245
GGF,0.5,1,0.9960681507595881,0.994375,0.99800537109375,5.999993082201889
GGF,0.5,2,0.9960639180809336,0.994375,0.99923828125,6.0
GGF,0.5,3,0.9960690898852492,0.994375,0.99337890625,5.999964272103659
GGF,0.5,4,0.9960690898852492,0.994375,0.98951171875,6.0
GGF,0.7,0,0.9960677203188115,0.994375,1.0024609375,6.0
GGF,0.7,1,0.9960681507595881,0.994375,0.9980043792724609,5.999995847247261
GGF,0.7,2,0.9960681507595881,0.994375,0.9992280578613282,5.999986957560391
GGF,0.7,3,0.9960690898852492,0.994375,0.99337890625,5.9999394442434895
GGF,0.7,4,0.9960690898852492,0.994375,0.98951171875,6.0
GGF,0.9,0,0.9960693542895347,0.994375,1.002430191040039,5.99998956365101
GGF,0.9,1,0.9960681507595881,0.994375,0.9980033874511719,5.999998614906875
GGF,0.9,2,0.9960687980964209,0.994375,0.99923828125,6.0
GGF,0.9,3,0.9960690898852492,0.994375,0.99337890625,5.9999394442434895
GGF,0.9,4,0.9960690898852492,0.994375,0.98951171875,6.0
FEN,0.3,0,1.0000000038347456,0.6960619354248047,0.7017221069335937,1.0000000015728132
FEN,0.3,1,1.0000000038347456,0.6960619354248047,0.6986048889160156,1.000000004500251
FEN,0.3,2,1.0000000038347456,0.6960619354248047,0.6995687866210938,1.0377684905793905
FEN,0.3,3,0.9958909934311959,0.9759926605224609,0.9642695617675782,5.658307629699544
FEN,0.3,4,1.0000000038347456,0.6960619354248047,0.6926576232910157,0.999999998593758
FEN,0.5,0,0.9999999947840632,0.49718772888183593,0.5012306976318359,1.000000010084952
FEN,0.5,1,0.9999999947840632,0.49718772888183593,0.49900409698486325,1.0000000070671817
FEN,0.5,2,0.9999999947840632,0.49718772888183593,0.49965599060058596,1.0108452491420383
FEN,0.5,3,0.9941664794042233,0.832216796875,0.7860400390625,4.689876436704353
FEN,0.5,4,0.9960690898852492,0.994375,0.98951171875,6.0
FEN,0.7,0,0.9998594014235853,0.4173876190185547,0.4090092468261719,2.9371180377209525
FEN,0.7,1,0.996069737222082,0.994375,0.9980009460449218,5.9999927076110655
FEN,0.7,2,0.9999999929751682,0.2983123779296875,0.29977136611938476,1.0000000005057967
FEN,0.7,3,0.9960690898852492,0.994375,0.993375473022461,5.999959268231627
FEN,0.7,4,0.9960094563385292,0.9893403625488282,0.9894912719726563,5.999972096687928
FEN,0.9,0,1.000000001112591,0.09943758964538574,0.10024619102478027,0.999999997825595
FEN,0.9,1,0.9960690898852492,0.994375,0.9980078125,6.0
FEN,0.9,2,1.000000001112591,0.09943758964538574,0.09994585990905762,1.0129942110531398
FEN,0.9,3,0.9960690898852492,0.994375,0.99337890625,5.9999394442434895
FEN,0.9,4,0.9960690898852492,0.994375,0.98951171875,6.0
SOTO,0.3,0,1.0000000038347456,0.6960619354248047,0.7017221069335937,1.0000000015728132
SOTO,0.3,1,0.9992818152947183,0.7241886901855469,0.7135305023193359,1.5218633306802622
SOTO,0.3,2,1.0000000038347456,0.6960619354248047,0.6994662475585938,0.9999999971542974
SOTO,0.3,3,1.0000000038347456,0.6960619354248047,0.6953646850585937,0.9999940485368389
SOTO,0.3,4,1.0000000038347456,0.6960619354248047,0.6926576232910157,1.0000011084404932
SOTO,0.5,0,0.9999999947840632,0.49718772888183593,0.5012306976318359,1.000000010084952
SOTO,0.5,1,0.9999999947840632,0.49718772888183593,0.49900409698486325,1.0000000070671817
SOTO,0.5,2,0.9999999947840632,0.49718772888183593,0.4996192932128906,1.000000008465674
SOTO,0.5,3,0.9960690898852492,0.994375,0.99337890625,5.9999394442434895
SOTO,0.5,4,0.999999991050797,0.49718772888183593,0.4947560501098633,1.0000041961728139
SOTO,0.7,0,0.9999999929751682,0.2983123779296875,0.3007381439208984,1.0000000012431562
SOTO,0.7,1,0.9999999929751682,0.2983123779296875,0.29940223693847656,0.999999999859927
SOTO,0.7,2,0.9999999929751682,0.2983123779296875,0.29977136611938476,1.0000000005057967
SOTO,0.7,3,0.9960690898852492,0.994375,0.99337890625,5.9999394442434895
SOTO,0.7,4,0.9997980150007036,0.42989051818847657,0.42871532440185545,3.2185244691806525
SOTO,0.9,0,1.000000001112591,0.09943758964538574,0.10024619102478027,0.999999997825595
SOTO,0.9,1,1.000000001112591,0.09943758964538574,0.09980087280273438,0.999999998076381
SOTO,0.9,2,1.000000001112591,0.09943758964538574,0.09992391586303712,0.9999999955372469
SOTO,0.9,3,1.000000001112591,0.09943758964538574,0.09933798789978027,0.9999899057780031
SOTO,0.9,4,1.000000001112591,0.09943758964538574,0.09895126342773437,1.0000011134474986
