method,c,seed,d0_jain,d0_eff,d1_eff,br_rho,ac_rho
CAN,0.3,0,0.9996476306236887,0.979931640625,0.9518653869628906,1.1625397117815923,1.2818283422390608
CAN,0.3,1,0.9997726092877512,0.9552754211425781,0.8729515075683594,1.2872742958113084,1.0953758755323495
CAN,0.3,2,0.9994054292540919,0.9963436889648437,0.9481211853027344,1.297843678210294,1.255322726670433
CAN,0.3,3,0.9997423535063878,0.9527266693115234,0.8865862274169922,1.2245707239662094,1.333576742782245
CAN,0.3,4,0.9996209975351111,0.9827090454101562,0.9286564636230469,1.1937383402697426,1.1815591011479745
CAN,0.5,0,0.9995918809770518,0.9497265625,0.9040625,1.2218120896737295,1.965326794032017
CAN,0.5,1,0.9995203012670728,0.9869140625,0.934765625,1.2386591689988586,1.6837174320137933
CAN,0.5,2,0.9995445068897475,0.986533203125,0.993017578125,0.9955510532020506,1.4764763631210625
CAN,0.5,3,0.9996359457664215,0.940615234375,0.780029296875,1.3938967660147612,1.6928221368408223
CAN,0.5,4,0.9994236782609055,0.992021484375,0.962509765625,1.2399625835604642,1.7801358837598589
CAN,0.7,0,0.999542986415537,0.9781797027587891,0.9172714233398438,1.3029517206222327,2.609768439290929
CAN,0.7,1,0.9992135727360877,0.998099594116211,0.9512323760986328,1.2543492659909181,2.088910381925184
CAN,0.7,2,0.999315897965352,0.9907715606689453,0.9944082641601563,0.9966715294121908,1.3920953618736616
CAN,0.7,3,0.9995380299948023,0.9719589233398438,0.8503476715087891,1.3330049010881893,2.7187768837723656
CAN,0.7,4,0.9992151462774841,0.997867202758789,0.9610761260986328,1.3807178572893974,2.634513261871539
CAN,0.9,0,0.999184346977935,0.9956406402587891,0.4315935516357422,5.17596943724491,5.434761070448673
CAN,0.9,1,0.9991986292011943,0.9996835327148438,0.80892578125,1.7661435843096696,4.52549849346115
CAN,0.9,2,0.9991897252439579,0.9970644378662109,0.9978202819824219,0.9991166273802796,1.909374401854441
CAN,0.9,3,0.9992249027307037,0.9881170654296875,0.9311463928222656,1.326058509680521,3.5146333918990615
CAN,0.9,4,0.9991943859220682,0.9990156555175781,0.958603515625,1.3581890372507979,4.252905480769655
