method,c,seed,d0_jain,d0_eff,d1_eff,br_rho,ac_rho
GGF,0.3,0,0.9996180136637305,0.969906234741211,0.8958615112304688,1.5764011314308672,1.6809271557057146
GGF,0.3,1,0.9995180669265344,0.9250587463378906,0.8357562255859375,1.3399048680840049,1.4862952534188136
GGF,0.3,2,0.9994890157189732,0.9532305908203125,0.8645197296142578,1.36689284344178,1.5224993855784423
GGF,0.3,3,0.9993300442289115,0.8723770141601562,0.7055257415771484,1.4784601321361812,1.478755793810713
GGF,0.3,4,0.9995643537228487,0.9915097045898438,0.9417695617675781,1.599458190412562,1.827762404945645
GGF,0.5,0,0.99955089683452,0.98517578125,0.88466796875,1.467433390089405,2.2199420288550873
GGF,0.5,1,0.9996174046736699,0.947958984375,0.854287109375,1.3488453172005006,1.9272878972559386
GGF,0.5,2,0.9995590077760501,0.972822265625,0.91677734375,1.3417501884139464,1.7690304923734197
GGF,0.5,3,0.9993995048544019,0.978623046875,0.5416602325439454,2.228884427658768,2.22850932504861
GGF,0.5,4,0.9993531292839208,0.9923046875,0.5384474182128907,2.068884745246839,2.0714409180894178
GGF,0.7,0,0.9992779581614326,0.9926718902587891,0.9022323608398437,1.572769066761569,3.1078792417778116
GGF,0.7,1,0.9992975370112054,0.9894999694824219,0.8937284851074219,1.4285359299421063,2.729593172335198
GGF,0.7,2,0.999512688806072,0.948169937133789,0.36242584228515623,2.8449794201994774,2.854566528658359
GGF,0.7,3,0.9991936411801431,0.9991523742675781,0.93560546875,1.3926891901946452,2.6768619165340723
GGF,0.7,4,0.9992345247955277,0.9958027648925781,0.8967362976074219,1.4692428430737396,3.0116861544531996
GGF,0.9,0,0.9991773887684074,0.9910527038574218,0.8937753295898437,1.91482454438624,4.761380445840025
GGF,0.9,1,0.9991637006905731,0.9948847198486328,0.2695759773254395,4.8048864266865134,4.803879581083494
GGF,0.9,2,0.9992680222125156,0.9813847351074219,0.915361328125,1.387408057675494,4.629151317246594
GGF,0.9,3,0.9991763258703192,0.9982948303222656,0.915361328125,1.695401725641911,4.727479267847699
GGF,0.9,4,0.9991992990542471,0.9997891235351563,0.9759355163574219,1.6836112442845899,4.879626457712698
