arm,c,seed,br6_rho,t6_rho,t6_eff,t12_rho,t12_eff,t24_rho,t24_eff,t48_rho,t48_eff
frac,0.3,0,1.6402645983888102,1.3205733046245955,0.992412109375,1.5231020430080533,0.9723905944824218,1.76785165232514,0.9049726104736329,2.1370540335096226,0.7679862976074219
v1tok,0.3,0,1.7485901853226542,1.1574699616468127,0.9866172790527343,1.3763183808047672,0.9652597045898438,1.853440938804504,0.9276484680175782,3.2588640693441238,0.8662773132324219
frac,0.3,1,1.382092229595565,1.0986514608869553,0.9772539520263672,1.1646767149472486,0.8381288909912109,1.2471378046029256,0.74845703125,1.3244245003861228,0.7175018310546875
v1tok,0.3,1,2.0152179050292167,1.0846636657620503,0.995078125,1.2178567098560653,0.9969296264648437,1.8951205158646127,0.9921601867675781,6.422693584246158,0.9817012023925781
frac,0.3,2,2.049939748062454,1.5938693624917475,0.9873203277587891,2.1061634446339275,0.964404296875,2.849347605503639,0.9026933288574219,5.418805585261801,0.7786093902587891
v1tok,0.3,2,1.8470934322184684,1.2832507093762673,0.9890312957763672,1.506398752297852,0.9732343292236328,2.1518971378139073,0.9452499389648438,4.477482521717555,0.8931777191162109
frac,0.3,3,1.9908348381995782,1.5726474129587658,0.9785312652587891,2.0563958420875097,0.92998046875,2.7567406926398705,0.8298554992675782,4.241966191084323,0.7408456420898437
v1tok,0.3,3,2.0137750884051577,1.199285016829302,0.9900155639648438,1.3986904316075928,0.978818359375,2.205168241117029,0.957578125,6.159932622775066,0.9234765625
frac,0.3,4,2.081322164668326,1.1411899395670813,0.971265640258789,1.254161017471441,0.9436152648925781,1.4277349259962295,0.8904296875,1.842619667124186,0.8184707641601563
v1tok,0.3,4,1.6684884744396964,1.0793994334922727,0.9795449829101562,1.1760024461998535,0.940205078125,1.426386405170982,0.8881034851074219,2.3663817316065954,0.8331484222412109
frac,0.5,0,1.6536976236301713,1.3258636199226825,0.988828125,1.5033917155079537,0.942421875,1.9711826756768425,0.80904296875,3.270867399630288,0.61841796875
v1tok,0.5,0,1.9777022897792482,1.3363802773577589,0.998408203125,1.726524636112263,0.9949609375,2.729409185897784,0.981884765625,5.764457011491913,0.941103515625
frac,0.5,1,1.4566820363044788,1.4186304555564535,0.99421875,1.6349396635964422,0.97126953125,1.8277782438544845,0.887568359375,2.2352390260104427,0.583427734375
v1tok,0.5,1,2.131737559813513,1.248012860332091,0.999091796875,1.881566530685709,0.999111328125,4.193115352444736,0.997509765625,11.38410703102873,0.989921875
frac,0.5,2,2.7314086160235016,2.4063721465198205,0.994599609375,3.2468995616356575,0.986650390625,5.916429530804987,0.9666796875,13.421158314455358,0.918818359375
v1tok,0.5,2,1.9536007758320695,1.5099759636737944,0.997216796875,1.9187211989903041,0.9891015625,2.8464711690581206,0.965595703125,5.590568548651655,0.91005859375
frac,0.5,3,1.7482705604585567,1.3446321878629806,0.975947265625,1.5455865646950344,0.913349609375,1.7630946093153295,0.748291015625,2.320594437335956,0.55830078125
