arm,c,seed,br6_rho,t6_rho,t6_eff,t12_rho,t12_eff,t24_rho,t24_eff,t48_rho,t48_eff
last,0.3,0,1.7333420691709067,1.2225316258845513,0.9899687957763672,1.391835023253,0.982158203125,1.6779877377091177,0.9704043579101562,3.3169682502886797,0.9511738586425781
lastmax,0.3,0,1.5921036597005578,1.1375588235710095,0.9950721740722657,1.267887662166597,0.989130859375,1.6088767340727974,0.9751620483398438,3.138329493203644,0.94662109375
last,0.3,1,1.5701479435561276,1.2384104446292352,0.9931269836425781,1.322459943641574,0.8896035003662109,2.2286593569336453,0.8157344055175781,6.088493134796867,0.7859804534912109
lastmax,0.3,1,1.2868341303107433,1.0795889512843613,0.9840625,1.154158661644004,0.9184609222412109,1.2982998095782734,0.8292755126953125,1.557997489286052,0.7670020294189454
last,0.3,2,1.7144305995287648,1.3292460001879745,0.989652328491211,1.5240618125900462,0.9671113586425781,1.9147229238196917,0.9256327819824218,3.756384986039674,0.8622811889648437
lastmax,0.3,2,1.7688595794040518,1.306960449799168,0.9864297485351563,1.4827940261745067,0.9612168121337891,1.7284831382555388,0.919017562866211,2.0536724386319936,0.8496132659912109
last,0.3,3,1.6409258448321524,1.1543579545892222,0.9746992492675781,1.2397952601769,0.9479745483398437,1.432174896385334,0.8950761413574219,2.6482507391688945,0.8134843444824219
lastmax,0.3,3,1.449168135909636,1.1935525906038915,0.9635195922851563,1.2713120733781298,0.9109140014648438,1.3455030915521742,0.8356034851074219,1.420244627822703,0.7577089691162109
last,0.3,4,1.65077879449505,1.0952738542663916,0.9684238433837891,1.188339045795062,0.930238265991211,1.3773779876664225,0.889849624633789,1.752513508083749,0.8301484680175781
lastmax,0.3,4,1.6622691377937275,1.071532248400322,0.9766796875,1.150418310429632,0.9624942016601562,1.2871577311330107,0.9449043273925781,1.4998043345991663,0.9217362976074219
last,0.5,0,1.6811813105516469,1.3073290429441338,0.9890234375,1.5830262509021964,0.96158203125,2.043012672995737,0.892158203125,2.7975166745545135,0.750615234375
lastmax,0.5,0,1.7538076146400736,1.3929284979254932,0.998759765625,1.722969877568565,0.99607421875,2.3333800107702203,0.985859375,3.348133247206273,0.956787109375
last,0.5,1,1.8427960634295681,1.223766916773882,0.996435546875,1.4232675642572852,0.984560546875,2.17611896982783,0.9467578125,6.183989208518163,0.84658203125
lastmax,0.5,1,1.5848077199130655,1.2893843994476746,0.99779296875,1.5354458586396749,0.984892578125,2.132092986048631,0.9166796875,3.033403337395766,0.770078125
last,0.5,2,1.6305947381134738,1.3860061968504005,0.98041015625,1.6275893648367084,0.922744140625,2.014021896293602,0.796416015625,2.7688594010732084,0.61732421875
lastmax,0.5,2,1.7465641263122744,1.6291644590246899,0.99296875,1.9593534466195028,0.97767578125,2.3933038082665505,0.943720703125,2.9596476611834595,0.873232421875
last,0.5,3,1.7690777491287548,1.3031726449364518,0.982412109375,1.5172404551330276,0.94185546875,1.9972578935572687,0.8575,3.4087034918133106,0.700810546875
lastmax,0.5,3,1.722359122148735,1.2672086808975258,0.997021484375,1.4037591877988485,0.98736328125,1.6075396700979627,0.9578515625,1.8891299396913004,0.887197265625
last,0.5,4,1.7734148753073904,1.2662886272586955,0.99833984375,1.5282376823464368,0.992822265625,2.3416807598684652,0.97111328125,5.444752419170111,0.903291015625
lastmax,0.5,4,1.7086867615050791,1.3049885412877198,0.9947265625,1.4528718966271568,0.972998046875,1.6473154040306368,0.90818359375,1.8783309466509053,0.76982421875
last,0.7,0,1.628331376189338,1.5350778562913985,0.9931640625,2.2477333167869173,0.9678984832763672,4.628425419537454,0.8828593444824219,10.394623215375775,0.6929023742675782
lastmax,0.7,0,1.632676236770962,1.51292203125386,0.9942442321777344,1.887817669052345,0.98263671875,2.4046446347750567,0.9441093444824219,2.6031147156010435,0.838466796875
last,0.7,1,1.9264488638374169,1.4113597581612056,0.9979901885986329,1.5779085358575122,0.988447265625,1.9493274725101346,0.9661757659912109,4.811867840716512,0.880576171875
lastmax,0.7,1,2.055307575689821,1.5626354478041902,0.9992617797851563,2.1778630569886364,0.9956523895263671,3.202705282345471,0.9766484069824218,4.375414837241361,0.909369125366211
last,0.7,2,2.2433182191328207,2.5981690559869444,0.995816421508789,4.120663652955184,0.9791230773925781,7.99219943667989,0.9284687805175781,15.553886214711948,0.8207344055175781
lastmax,0.7,2,1.8356946590971437,1.7566455088790285,0.9979354858398437,2.000203456634452,0.9923985290527344,2.2980443471371483,0.9704413604736328,2.5449488035780092,0.90484375
last,0.7,3,2.1132788626730576,1.598837089789681,0.9979629516601562,1.9418068876772856,0.9912226867675781,2.7850449872236096,0.9675839233398438,6.6795924721771724,0.9018359375
lastmax,0.7,3,1.9054695918005935,1.6044976073751014,0.9973750305175781,1.8559103287090324,0.9890351867675782,2.3630499524298894,0.959271469116211,3.3194199856710376,0.8774862670898438
last,0.7,4,2.1039508843311934,1.9474608997017195,0.9988241577148438,2.3845359248405416,0.9947499847412109,4.492466807981554,0.9765663909912109,12.097157171697788,0.916820297241211
lastmax,0.7,4,1.8440831854708217,1.6288597441172994,0.9983867645263672,1.8230005765962543,0.9902930450439453,2.22582931152835,0.953433609008789,2.9365925559387076,0.857210922241211
last,0.9,0,1.7531216359857282,1.8479266984047675,0.9865350341796875,2.280064501102017,0.953681640625,3.0721235968558194,0.865439453125,4.457884703741357,0.6635722351074219
lastmax,0.9,0,2.145660731233434,2.0472147306763704,0.9965546417236328,2.4243903527966713,0.9880292510986328,3.641250551544078,0.959886703491211,6.319612746109897,0.8691133117675781
last,0.9,1,2.0801506913781727,2.505303182492912,0.999595718383789,5.696748521401842,0.9986640930175781,14.12970680930481,0.9931620788574219,31.977785367042177,0.9731932830810547
lastmax,0.9,1,2.154825071449067,1.98146525100218,0.999033203125,3.2445636418932597,0.9958866882324219,5.724139169625241,0.9789589691162109,8.668214851540327,0.919931640625
last,0.9,2,2.7454029989771316,4.541180038799001,0.9961855316162109,6.817467318939562,0.98224609375,12.698629749633671,0.9355937194824219,24.906870926129415,0.8094355010986328
lastmax,0.9,2,2.1985931412277884,3.5353147196256067,0.9968359375,4.390292443207176,0.9864999389648438,5.763751663374633,0.950640640258789,6.915808739934653,0.848335952758789
last,0.9,3,1.9972143060887062,2.7105098231822327,0.9941112518310546,5.608509757504497,0.9736152648925781,12.0090321153269,0.9075390625,22.23840850185581,0.7351327514648438
