policy,c,seed,d0_eff,d0_fp,br_rho,ac_rho,patient_rho
uni-rl,0.5,0,0.96794921875,0.0641015625,1.3067051780363454,1.6268236807052292,nan
uni-rl,0.9,0,0.9783612060546875,0.02404296875,1.0160912647863904,2.7450099921582494,nan
uni-bcft,0.5,0,0.99642578125,0.0071484375,1.5141574037070624,1.8167529574678585,nan
uni-bcft,0.9,0,0.9990155792236328,0.00109375,1.56788668884164,3.1993390194245235,nan
uni-rl,1.0,0,0.97787109375,0.02212890625,1.3473067330058293,6.0,1.3377414874910665
uni-bcft,1.0,0,0.9992578125,0.0007421875,1.6045209532115792,6.0,1.6208703407954084
uni-joint,0.5,0,0.9882421875,0.023515625,1.0071466527640696,1.0990095539616256,nan
uni-joint,0.9,0,1.0,0.0,1.5554706002659904,1.4587154852707238,nan
uni-joint,1.0,0,1.0,0.0,0.9990234374999999,6.0,0.9999609374999998
uni-rl,0.5,1,0.940654296875,0.11869140625,2.683533280719084,2.6907859276571484,nan
uni-rl,0.9,1,0.9054647827148438,0.1050390625,4.631717192160537,4.642309569204126,nan
uni-bcft,0.5,1,0.9946875762939453,0.010625,1.5410391863973705,2.41704233508399,nan
uni-bcft,0.9,1,0.9909295654296875,0.010078125,1.6204178270525067,4.577804650772874,nan
uni-rl,1.0,1,0.85638671875,0.14361328125,1.4814091838609875,6.0,1.5648872327877585
uni-bcft,1.0,1,0.98994140625,0.01005859375,1.659778613733383,6.0,1.6586899082598991
uni-joint,0.5,1,0.982509765625,0.03498046875,1.4018673988471329,1.0990095539616256,nan
uni-joint,0.9,1,1.0,0.0,1.0008984374999998,1.4587154815316359,nan
uni-joint,1.0,1,1.0,0.0,1.0008984374999998,6.0,0.9996093749999999
uni-rl,0.5,2,0.915205078125,0.16958984375,2.137087759585845,2.1407682171557845,nan
uni-rl,0.9,2,0.9759355163574219,0.02673828125,4.564861101477849,4.5658669539013825,nan
uni-bcft,0.5,2,0.972158203125,0.05568359375,2.2332282167767463,2.232664982949176,nan
uni-rl,1.0,2,0.9795703125,0.0204296875,3.0234419455090227,6.0,1.2948778226595339
uni-bcft,0.9,2,0.9874842071533203,0.01390625,1.438881196722792,4.452447289145441,nan
uni-bcft,1.0,2,0.9869140625,0.0130859375,1.4628594065617704,6.0,1.4679512019976868
uni-joint,0.5,2,0.963935546875,0.07212890625,1.3356458915114113,1.3286792057820613,nan
uni-joint,0.9,2,0.9999472045898438,5.859375e-05,0.9997627472927391,1.4596237104638647,nan
uni-joint,1.0,2,1.0,0.0,0.9999609374999998,6.0,1.0006640624999998
uni-rl,0.5,3,0.9776953125,0.044609375,2.3159669869694195,2.316952714960834,nan
uni-rl,0.9,3,0.9902264404296875,0.010859375,1.431391211276146,4.420940674498075,nan
uni-bcft,0.5,3,0.924638671875,0.15072265625,1.3270756367711936,1.2668237579713977,nan
uni-rl,1.0,3,0.98919921875,0.01080078125,1.4767331800149701,6.0,1.5055401734299427
uni-bcft,0.9,3,0.9550526428222657,0.04994140625,1.0032265454745204,1.6331699846163312,nan
uni-bcft,1.0,3,0.97658203125,0.02341796875,1.31504214410776,6.0,1.3113697467626593
uni-joint,0.5,3,0.9790625,0.041875,1.3293865851851132,1.3318904126619908,nan
uni-joint,0.9,3,1.0,0.0,1.3738673598275892,1.4589878466581712,nan
uni-joint,1.0,3,1.0,0.0,0.9996093749999999,6.0,1.001015625
uni-rl,0.5,4,0.994296875,0.01140625,3.4252663414235616,3.426985605309242,nan
uni-rl,0.9,4,0.9890838623046875,0.01212890625,5.262663242941433,5.263524956192592,nan
uni-bcft,0.5,4,0.99322265625,0.0135546875,1.7776942440030261,2.3269074636774585,nan
uni-bcft,0.9,4,0.9899099731445312,0.0112109375,2.0335992698166327,4.666986604387034,nan
uni-rl,1.0,4,0.98705078125,0.01294921875,6.0,6.0,6.0
uni-bcft,1.0,4,0.98830078125,0.01169921875,2.1016162126460793,6.0,2.096464334500501
uni-joint,0.5,4,0.983515625,0.03296875,1.4029269699031375,1.3867957569759235,nan
uni-joint,0.9,4,1.0,0.0,1.0006640624999998,1.458715483525816,nan
uni-joint,1.0,4,1.0,0.0,1.0006640624999998,6.0,0.9992578124999999
